text,class
"చంద్రయాన్-3 మిషన్ విజయవంతమైన తర్వాత, చంద్రుడిపై శ్రీరాముని అడుగుల గుర్తులు కనిపించాయని కొన్ని పోస్టులు వైరల్ అయ్యాయి.",0
"ప్లాస్టిక్ గుడ్లు, ప్లాస్టిక్ బియ్యం తెలుగు రాష్ట్రాల్లో ఎక్కువగా విక్రయించబడుతున్నాయని కొన్ని వీడియోలు వైరల్ అయ్యాయి.",0
"కొత్తగా ప్రవేశపెట్టిన ₹2000 నోట్లలో GPS చిప్ ఉంది, ఇది నోట్లను ఎక్కడైనా ట్రాక్ చేయగలదు ",0
కొవిడ్-19 వ్యాక్సిన్ తీసుకున్నవారు జంతువులుగా మారిపోతారని కొన్ని WhatsApp వీడియోలు వైరల్ అయ్యాయి.,0
"కొన్ని సందర్భాల్లో, మాజీ ముఖ్యమంత్రులు నందమూరి తారక రామారావు  మరియు వైఎస్ రాజశేఖర రెడ్డి  తిరిగి బతికారని కొన్ని వీడియోలు, పోస్టులు సోషల్ మీడియాలో వైరల్ అయ్యాయి.",0
"తిరుమల తిరుపతి దేవస్థానంలో వేంకటేశ్వర స్వామి విగ్రహం కన్నీళ్లు కారుస్తోందని, ఇది ఒక అద్భుతం అని కొన్ని వీడియోలు వైరల్ అయ్యాయి.",0
"ఒక ఏడాది (2024 లేదా 2030) లోపల 12 సూర్య గ్రహణాలు జరగబోతున్నాయని, ఇది మహాప్రళయానికి సంకేతమని కొన్ని తప్పుడు వార్తలు ప్రచారం అయ్యాయి.",0
అటవీ శాఖ గ్రామాల్లో పులులను వదిలింది” అంటూ కొన్ని నకిలీ వీడియోలు షేర్ అవుతాయి.,0
"కరోనా మహమ్మారి సమయంలో, “కుక్కలు లేదా పిల్లుల ద్వారా కరోనా వ్యాపిస్తుంది” అని కొన్ని తప్పుడు వార్తలు ప్రచారం అయ్యాయి.",0
ఈ మెసేజ్ 10 మంది కి పంపించకపోతే మీ బ్యాంక్ ఖాతా బ్లాక్ అవుతుంది”కొన్ని ఫార్వర్డ్ మెసేజ్‌లు చెబుతాయి,0
చిల్కూర్ బాలాజీ ఆలయంలో రాత్రివేళల్లో స్వయంగా శంఖ నాదం వినిపిస్తున్నట్లు కొన్ని వీడియోలు వైరల్ అయ్యాయి.,0
తిరుమలలో వేంకటేశ్వర స్వామి విగ్రహం కళ్లు తెరిచినట్లు ఒక వీడియో వైరల్ అయింది.,0
"కొన్ని WhatsApp ఫార్వర్డ్ మెసేజ్‌లు “తెలంగాణ, ఏపీలో అమ్ముతున్న బీర్‌లో మత్తు మందు కలుపుతున్నారు” అని షేర్ అయ్యాయి.",0
"“రాత్రివేళ కుక్కలు విచిత్రంగా అరుస్తే, ఊరికి పెద్ద ప్రమాదం రాబోతోంది” అనే అపోహ సోషల్ మీడియాలో వైరల్ అవుతోంది.",0
పూరి జగన్నాథ రథయాత్రలో స్వామివారి రథం గాల్లోకి ఎగిరిపోయిందని ఒక ఫేక్ వీడియో వైరల్ అయ్యింది,0
"ఒకప్పుడు “తెలంగాణ, ఆంధ్రప్రదేశ్ సరిహద్దులో భూకంపం వల్ల భూమి చీలిపోయింది” అనే వీడియో వైరల్ అయింది.",0
చిత్తూరు జిల్లా మదనపల్లెలో ఒక శివలింగం గాలిలో తేలిపోతుందనే వార్త వైరల్ అయింది.,0
“ఈ మధ్యకాలంలో సూర్యుడు పసుపు రంగులో కనిపించడం మానవజాతికి పెద్ద ప్రమాద సూచన” అని కొన్ని ఫేక్ మెసేజ్‌లు షేర్ అయ్యాయి,0
కొత్త నోట్లలో ప్రధాని మోదీ సంతకం ఉందని కొన్ని ఫోటోలు వైరల్ అయ్యాయి.,0
వర్షం మొదటిసారి పడినప్పుడు వచ్చే మట్టి వాసన విషపూరితం అని కొన్ని మెసేజ్‌లు వైరల్ అయ్యాయి.,0
ఎండలో ఎక్కువ నడిస్తే తల బ్లాస్ట్ అవుతుందని కొన్ని WhatsApp మెసేజ్‌లు షేర్ అయ్యాయి.,0
కరోనా వైరస్‌ను తొలగించేందుకు ఉప్పు లేదా తేనె తినాలని కొన్ని వీడియోలు వైరల్ అయ్యాయి.,0
ISRO చంద్రయాన్-3 మిషన్ ద్వారా చంద్రునిపై హనుమాన్ ఆకారాన్ని కనుగొన్నట్లు కొన్ని ఫోటోలు వైరల్ అయ్యాయి.,0
EVMలను రిమోట్ ద్వారా హ్యాక్ చేసి ఎలక్షన్లను ప్రభావితం చేయొచ్చని కొన్ని వార్తలు వచ్చాయి.,0
ప్రభుత్వం భారతదేశంలో త్వరలో ఎమర్జెన్సీ ప్రకటించబోతుందని కొన్ని సోషల్ మీడియా పోస్టులు వైరల్ అయ్యాయి.,0
"పెప్సీ, కోకాకోలా లాంటి కూల్ డ్రింక్స్ తాగితే వాటిలో ప్లాస్టిక్ కణాలు శరీరంలో చేరతాయని కొన్ని మెసేజ్‌లు వైరల్ అయ్యాయి.",0
భారత ప్రభుత్వం 5000 రూపాయల నోటు విడుదల చేయబోతుందని కొన్ని ఫేక్ ఫోటోలు వైరల్ అయ్యాయి.,0
"""నీలి రంగు పండ్లు తింటే మనిషికి అదృష్టం వస్తుంది, డబ్బులు వస్తాయి."" కొన్ని సోషల్ మీడియా పోస్టులు వైరల్ అయ్యాయి.",0
"“అల్లం, ఉల్లిపాయ రసం తాగితే కరోనా రాదు” అనే వార్త WhatsApp లో వైరల్ అయ్యింది.",0
రాత్రి ఎరుపు రంగులో చంద్రుడు కనిపిస్తే ప్రకృతి వైపరీత్యాలు జరుగుతాయని కొన్ని అపోహలు ఉన్నాయి.,0
"""తులసి ఆకుల మీద నిద్రపోతే ఆరోగ్య సమస్యలు నయమవుతాయి"" అనే అపోహ WhatsApp లో షేర్ అవుతోంది.",0
జపాన్ శాస్త్రవేత్తలు సౌర మండలంలో 9వ గ్రహాన్ని కనుగొన్నారని కొన్ని యూట్యూబ్ వీడియోలు వైరల్ అయ్యాయి.,0
NASA రామసేతు వంతెనను మానవ నిర్మిత వంతెనగా గుర్తించిందని కొన్ని ఫోటోలు షేర్ అయ్యాయి.,0
"“WhatsApp కొత్త నిబంధనల ప్రకారం, మీ చాట్ లీక్ అవుతుంది” అనే సందేశాలు వైరల్ అయ్యాయి.",0
"కొన్ని అపోహలు చెబుతున్నాయి, “తేనెతుట్టె ఇంట్లో పెట్టుకుంటే చెడు శక్తులు వస్తాయి.”",0
"కొన్ని అపోహలు చెబుతున్నాయి, “తేనెతుట్టె ఇంట్లో పెట్టుకుంటే చెడు శక్తులు వస్తాయి.”",0
"కొన్ని WhatsApp మెసేజ్‌లు చెబుతున్నాయి, ""ఈ మధ్య కాలంలో బంగారం నల్లగా మారిపోతుంది, ఇది పెద్ద ప్రమాద సూచన.""",0
"""మంగళగిరి ఆలయంలో స్వామివారికి నైవేద్యం పెట్టకపోయినా దీపం ఆరదు"" అనే అపోహ చాలా మందిని ఆకర్షించింది.",0
"""తలపై నెయ్యి రాసుకుంటే CCTV కెమెరాల్లో కనిపించరు"" అనే అపోహ నమ్ముతున్నారు.",0
"కొన్ని అపోహలు చెబుతున్నాయి, ""షుగర్ ఉన్నవారు గుళ్లోకి వెళితే ఆరోగ్య సమస్యలు వస్తాయి.""",0
"""రోజూ నిమ్మరసం తాగితే కిడ్నీ స్టోన్స్ పూర్తిగా కరిగిపోతాయి"" అనే అపోహ ప్రచారంలో ఉంది.",0
"""ISRO తీసిన ఫోటోలలో చంద్రునిపై భారత త్రివర్ణ పతాకం కనిపించింది"" అనే వార్త వైరల్ అయ్యింది.",0
"""ఇలా చేస్తే కచ్చితంగా మగ పిల్లాడు పుడతాడు"" అనే అపోహలు కొన్ని Ayurvedic remedies ద్వారా ప్రచారం అవుతున్నాయి",0
"""కొన్ని బ్రాండ్ల షాంపూల్లో ప్రమాదకరమైన కెమికల్స్ ఉన్నాయి, ఇవి క్యాన్సర్ కి కారణమవుతాయి.""",0
"""భారత ప్రభుత్వం త్వరలో 1 లక్ష రూపాయల నోటు తీసుకురాబోతుంది"" అనే ఫేక్ ఫోటోలు షేర్ అవుతున్నాయి.",0
"""ఫోన్ స్పీకర్ దగ్గర ఒక నాణెం ఉంచితే హార్మ్‌ఫుల్ రేడియేషన్ తగ్గిపోతుంది.""",0
"""ఇంట్లో నారింజలు ఉంచితే చెడు శక్తులు రాకుండా ఉంటాయి"" అనే అపోహ ఉంది.",0
"""రోజుకి 3-4 సార్లు చాయ్ తాగితే మెదడు చురుకుగా పనిచేస్తుంది.""",0
"""ఓడిస్సాలోని ఒక ఆలయంలో దేవుడి విగ్రహం రాత్రి స్వయంగా నడిచి వచ్చింది"" అనే వీడియో వైరల్ అయ్యింది.",0
"""కొన్ని బ్రాండ్ల షాంపూల్లో ప్రమాదకరమైన కెమికల్స్ ఉన్నాయి, ఇవి క్యాన్సర్ కి కారణమవుతాయి.""",0
"""రోజుకి 3-4 సార్లు చాయ్ తాగితే మెదడు చురుకుగా ",0
"కొత్తగా ప్రవేశపెట్టిన ₹2000 నోట్లలో GPS చిప్ ఉంది, ఇది నోట్లను ఎక్కడైనా ట్రాక్ చేయగలదు",0
"""కొన్ని బ్రాండ్ల షాంపూల్లో ప్రమాదకరమైన కెమికల్స్ ఉన్నాయి""",0
"కొత్తగా ప్రవేశపెట్టిన ₹2000 నోట్లలో GPS చిప్ ఉంది, ఇది నోట్లను ఎక్కడైనా ట్రాక్ చేయగలదు ",0
